user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
59945701,0,0,4
60062528,0,0,1
60074997,0,0,2
60113114,0,0,2
60210313,0,0,8
60217594,0,0,9
60227446,0,0,2
60260529,0,0,1
60296891,0,0,14
60343142,0,0,2
60439399,0,0,2
60549077,0,0,4
60608576,0,1,40
60611062,0,0,34
60706503,0,0,4
60744461,0,0,1
60859324,0,0,15
60859695,0,0,41
60984151,0,0,1
61031710,0,0,1
61046224,0,0,3
61070572,0,0,9
61086207,0,0,5
61189155,0,0,16
61439397,0,0,1
61506388,0,1,20
61632730,0,0,25
61676491,0,0,41
61772065,0,0,8
61779218,0,0,2
61834736,0,0,4
61990738,0,0,1
62078957,0,0,5
62097332,0,0,4
62418323,0,0,1
62481936,0,0,2
62539628,0,0,1
62545742,0,0,5
62633395,0,0,5
62654923,0,0,1
62658713,0,0,1
62705916,0,0,15
62784536,0,0,1
62858973,0,0,2
62878249,0,0,33
62923086,0,1,2
62990992,0,0,216
63098418,0,0,8
63122679,0,0,1
63157803,0,0,17
63276972,0,0,2
63441290,0,0,26
63454504,0,0,1
63615483,0,0,22
63671946,0,0,2
63678282,0,0,1
63702300,0,0,1
63808332,0,0,1
63810706,0,0,2
63895034,0,0,5
63965791,0,0,1
63990035,0,0,2
64019582,0,0,2
64023574,0,0,14
64027842,0,0,2
64060101,0,1,3
64079170,0,0,1
64137709,0,0,1
64261708,0,0,2
64307328,0,0,1
64319625,0,0,10
64350600,0,0,7
64365339,0,0,1
64368515,0,0,1
64369759,0,0,19
64392327,0,0,3
64394438,0,0,1
64455019,0,0,1
64514291,0,0,10
64611580,0,0,2
64754418,0,0,6
64787956,0,0,106
64973908,0,1,34
65064340,0,0,14
65117175,0,0,23
65145468,0,0,17
65147980,0,0,9
65152385,0,0,1
65155942,0,0,7
65173746,0,0,2
65225038,0,0,1
65229865,0,0,12
65315657,0,0,2
65341706,0,0,2
65342306,0,0,11
65350586,0,0,11
65398650,0,0,62
65420540,0,0,3
65421540,0,0,3
65447941,0,0,1
65472820,0,0,2
65575604,0,0,1
65610147,0,0,2
65638515,0,0,2
65716118,0,0,7
65729155,0,0,1
65754991,0,0,30
65909415,0,0,11
65935023,0,0,6
65958466,0,0,30
66052983,0,0,17
66078954,0,0,3
66211595,0,0,2
66229356,0,0,2
66255019,0,0,16
66357156,0,0,1
66403743,0,0,1
66438889,0,0,2
66464409,0,0,2
66508737,0,0,2
66573111,0,0,1
66596291,0,0,12
66615366,0,0,15
66650717,0,0,22
66687732,0,0,3
66755246,0,1,6
66939289,0,0,1
66950079,0,0,15
67244867,0,0,1
67349307,0,0,6
67492611,0,0,9
67579257,0,0,33
67628444,0,0,2
67694595,0,0,20
67708331,0,0,6
67713900,0,0,1
67729331,0,0,15
67965357,0,0,4
68049243,0,0,4
68200610,0,0,3
68224834,0,0,4
68240622,0,0,1
68316900,0,0,15
68325099,0,0,7
68532738,0,0,3
68540434,0,0,4
68673468,0,0,1
68685708,0,0,2
68719896,0,0,7
68809194,0,0,10
69009454,0,0,38
69180564,0,0,2
69434488,0,0,5
69587339,0,0,2
69828237,0,0,2
69849141,0,0,3
69856757,0,0,11
69942754,0,0,1
69946630,0,0,2
69953893,0,0,4
69954842,0,0,70
70075801,0,0,1
70126472,0,0,1
70180527,0,0,2
70327507,0,0,3
70351792,0,0,2
70398582,0,0,7
70408902,0,0,46
70487610,0,0,2
70591968,0,0,4
70686116,0,0,2
70778973,0,0,4
70779914,0,0,1
70780053,0,0,4
70844556,0,0,1
70915652,0,1,11
70930091,0,0,1
70967454,0,0,1
70970228,0,0,1
71331921,0,0,5
71335402,0,0,11
71390526,0,0,21
71411882,0,0,4
71498571,0,0,2
71510748,0,0,42
71527252,0,0,31
71574303,0,0,1
71603645,0,0,1
71611112,0,0,1
71704418,0,0,2
71777065,0,0,23
71870712,0,0,1
71871620,0,1,4
71875007,0,0,4
71888942,0,0,20
71926373,0,0,2
71952079,0,0,1
72135587,0,0,3
72207742,0,0,4
72329360,0,0,1
72387826,0,0,3
72417734,0,0,5
72523666,0,0,1
72627862,0,0,8
72629386,0,0,1
72717958,0,0,2
72842694,0,0,45
72930582,0,0,1
72958745,0,0,2
72978546,0,0,21
72989129,0,0,11
72996988,0,0,7
73094226,0,0,1
73187712,0,0,1
73195149,0,0,4
73305545,0,0,1
73453691,0,0,1
73495968,0,0,6
73513367,0,0,1
73518199,0,0,22
73564778,0,0,19
73721802,0,0,9
73726855,0,0,32
73820367,0,0,1
73835640,0,0,33
73883045,0,0,1
73981322,0,0,1
74126541,0,0,2
74161385,0,0,6
74161590,0,0,1
74347105,0,0,4
74497511,0,0,1
74521316,0,0,3
74764496,0,0,4
74772820,0,0,20
74855005,0,0,14
74897172,0,0,1
75001116,0,0,2
75011941,0,0,2
75064242,0,0,2
75092930,0,0,2
75134679,0,0,4
75155353,0,0,18
75182781,0,0,1
75232211,0,0,10
75240572,0,0,3
75273484,0,0,1
75277726,0,0,3
75328197,0,0,1
75366244,0,0,2
75368808,0,0,7
75457821,0,0,3
75463760,0,0,4
75598925,0,0,2
75689918,0,0,1
75738431,0,0,1
75864605,0,0,1
76027799,0,0,3
76032287,0,0,3
76046711,0,0,1
76171050,0,0,1
76211030,0,0,1
76296787,0,0,5
76319436,0,0,2
76373413,0,0,1
76420334,0,0,16
76451157,0,0,21
76892907,0,0,107
77127388,0,0,5
77136810,0,0,1
77194086,0,0,2
77194239,0,2,30
77214425,0,0,42
77279068,0,0,4
77378306,0,0,1
77446275,0,0,5
77542968,0,0,3
77565315,0,0,1
77665527,0,0,2
77818807,0,0,2
77830706,0,1,11
77870593,0,0,5
77903318,0,0,1
77980915,0,0,26
78053539,0,0,2
78309377,0,0,46
78332414,0,0,4
78341587,0,0,30
78551564,0,0,1
78671103,0,0,2
78799565,0,0,3
79017735,0,0,8
79049613,0,0,2
79073449,0,0,21
79111585,0,0,2
79155765,0,0,3
79211079,0,0,7
79243080,0,0,1
79316774,0,0,2
79319075,0,0,6
79411077,0,0,6
79474322,0,0,3
79542039,0,0,4
79658056,0,0,2
79715089,0,0,4
79869158,0,0,1
80067793,0,0,3
80098179,0,0,2
80119032,0,0,3
80128229,0,0,29
80145435,0,0,4
80154824,0,0,1
80164199,0,0,7
80189887,0,0,32
80239919,0,0,5
80250756,0,0,3
80351692,0,0,4
80363319,0,0,6
80384872,0,0,1
80471276,0,0,2
80494893,0,1,28
80511960,0,0,16
80550861,0,0,16
80604456,0,0,1
80630217,0,0,15
80650761,0,0,1
80779496,0,0,22
80859196,0,0,1
81054122,0,0,2
81139130,0,0,1
81151589,0,0,1
81160212,0,0,32
81170946,0,0,31
81258000,0,1,8
81439192,0,0,34
81556495,0,0,3
81579335,0,0,1
81585721,0,0,25
81591317,0,0,11
81672131,0,0,7
81678279,0,0,2
81743539,0,0,3
81746734,0,0,12
81943620,0,0,57
82020006,0,0,4
82029808,0,0,1
82046939,0,0,21
82071844,0,0,4
82156706,0,0,3
82174211,0,0,5
82203951,0,0,2
82212295,0,0,2
82263745,0,0,20
82287546,0,0,18
82352462,0,0,21
82385352,0,0,14
82418411,0,0,3
82436907,0,0,1
82438562,0,0,1
82448039,0,0,1
82512087,0,0,3
82536970,0,0,1
82686146,0,0,7
82778779,0,0,2
82961224,0,0,4
83090686,0,0,13
83123832,0,0,1
83135348,0,0,8
83148759,0,0,1
83168693,0,0,1
83188092,0,0,2
83234559,0,0,1
83497449,0,0,9
83521481,0,0,1
83599495,0,0,1
83625754,0,0,6
83671083,0,0,8
83681553,0,0,1
83746733,0,0,6
83751255,0,0,1
83770731,0,0,32
83849502,0,0,31
83928705,0,0,1
83975567,0,0,8
83992730,0,0,1
84045371,0,0,6
84156493,0,0,1
84236369,0,0,1
84318201,0,0,2
84432612,0,0,1
84455820,0,0,24
84471496,0,0,6
84513749,0,0,12
84514126,0,0,1
84585204,0,0,3
84824859,0,0,1
84863268,0,0,1
84883272,0,0,5
