app_id,status,name,type,required_age,platforms,metacritic_score,category_ids,categories,genre_ids,genres,recommendations
41020,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41030,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41040,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41045,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41046,True,Serious Sam HD: The Second Encounter - Serious 8 DLC,dlc,0,windows,NA,2:1:9:21:22:28:30:23:25:17,Single-player:Multi-player:Co-op:Downloadable Content:Steam Achievements:Full controller support:Steam Workshop:Steam Cloud:Steam Leaderboards:Includes level editor,1:23,Action:Indie,NA
41050,True,Serious Sam Classic: The First Encounter,game,0,windows,87,2:1:9:24:17:44,Single-player:Multi-player:Co-op:Shared/Split Screen:Includes level editor:Remote Play Together,1:23,Action:Indie,1670
41060,True,Serious Sam Classic: The Second Encounter,game,0,windows,85,2:1:9:24:17:44,Single-player:Multi-player:Co-op:Shared/Split Screen:Includes level editor:Remote Play Together,1:23,Action:Indie,939
41070,True,Serious Sam 3: BFE,game,0,windows:mac:linux,72,2:1:49:36:37:9:38:39:24:27:22:28:29:30:23:25:17:43:44,Single-player:Multi-player:PvP:Online PvP:Shared/Split Screen PvP:Co-op:Online Co-op:Shared/Split Screen Co-op:Shared/Split Screen:Cross-Platform Multiplayer:Steam Achievements:Full controller support:Steam Trading Cards:Steam Workshop:Steam Cloud:Steam Leaderboards:Includes level editor:Remote Play on TV:Remote Play Together,1:23,Action:Indie,15900
41073,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41074,True,Serious Sam 3: Jewel of the Nile,dlc,0,windows:mac:linux,NA,2:1:49:36:37:9:38:39:24:27:21:22:28:29:30:23:8:25:17:44,Single-player:Multi-player:PvP:Online PvP:Shared/Split Screen PvP:Co-op:Online Co-op:Shared/Split Screen Co-op:Shared/Split Screen:Cross-Platform Multiplayer:Downloadable Content:Steam Achievements:Full controller support:Steam Trading Cards:Steam Workshop:Steam Cloud:Valve Anti-Cheat enabled:Steam Leaderboards:Includes level editor:Remote Play Together,1:23,Action:Indie,257
41080,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41090,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41100,True,Hammerfight,game,0,windows:mac:linux,NA,2,Single-player,1:23,Action:Indie,326
41110,True,Hammerfight Demo,demo,0,windows,NA,2:10,Single-player:Game demo,1:23,Action:Indie,NA
41210,True,Eufloria,advertising,0,windows,63,2:22,Single-player:Steam Achievements,23:2,Indie:Strategy,455
41220,True,Eufloria Demo,demo,0,windows,63,2:10,Single-player:Game demo,2:23,Strategy:Indie,NA
41300,True,Altitude,game,0,windows:mac:linux,79,2:1:27:22:18:15:17,Single-player:Multi-player:Cross-Platform Multiplayer:Steam Achievements:Partial Controller Support:Stats:Includes level editor,1:37:23,Action:Free to Play:Indie,600
