game_title,hours
Avernum 2 Crystal Souls,0.0
Avernum 4,228.0
Avernum 5,222.0
Avernum 6,80.0
Avernum Escape From the Pit,257.0
Aveyond 3-1 Lord of Twilight,1.2
Aveyond 3-2 Gates of Night,0.6
Avoid Sensory Overload,0.0
Awesomenauts,1504.7
Axel & Pixel,0.0
Axiom Verge,30.3
Axiom Verge Original Soundtrack,0.0
Axis Game Factory's AGFPRO - Drone Kombat FPS Multi-Player DLC,0.0
Axis Game Factory's AGFPRO - Zombie Survival Pack DLC,0.0
Axis Game Factory's AGFPRO 3.0,11.199999999999998
Azure Striker Gunvolt,5.5
B.U.T.T.O.N.,0.1
BAD END,3.8
BEEP,11.399999999999999
BIT.TRIP BEAT,21.6
BIT.TRIP CORE,0.1
BIT.TRIP FATE,0.5
BIT.TRIP FATE Original Soundtrack,0.0
BIT.TRIP FLUX,0.0
BIT.TRIP FLUX Soundtrack,0.0
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,61.6
BIT.TRIP RUNNER,73.6
BIT.TRIP VOID,0.4
BLOCKADE 3D,682.0
BRAINPIPE A Plunge to Unhumanity,5.6
BRINK,237.5
Babel Rising,0.4
Back to Bed,1.6
Back to Dinosaur Island ,10.700000000000001
Back to the Future Ep 1 - It's About Time,25.3
Back to the Future Ep 2 - Get Tannen!,13.2
Back to the Future Ep 3 - Citizen Brown,10.8
Back to the Future Ep 4 - Double Visions,7.8
Back to the Future Ep 5 - OUTATIME,8.3
Bad Hotel,10.0
Bad Mojo Redux,0.0
Bad Rats,29.3
Badland Bandits,0.0
Baldur's Gate Enhanced Edition,3094.8999999999996
Baldur's Gate II Enhanced Edition,4277.3
Ballad of Solar,10.1
Ballads of Reemus When the Bed Bites,0.0
Ballpoint Universe Infinite,3.0999999999999996
Balls of Steel,0.0
Bang Bang Racing,0.0
Banished,2630.9999999999995
Bard to the Future,0.0
Bard's Gold,119.0
Bardbarian,13.899999999999999
Basement,69.7
Bastion,651.9
Batla,45.3
Batla - Starter Pack,0.0
Batla - Tank,0.0
Batman Arkham Asylum,128.4
Batman Arkham Asylum GOTY Edition,1394.3999999999999
Batman Arkham City,655.4000000000001
Batman Arkham City GOTY,2076.6
Batman Arkham Knight,422.8
Batman Arkham Origins,1951.8
Batman Arkham Origins -  Online Supply Drop 1,0.0
Batman Arkham Origins - Infinite Earths Skins Pack,0.0
Batman Arkham Origins - Initiation,0.0
Batman Arkham Origins - New Millennium Skins Pack,0.0
Batman Arkham Origins - Online Supply Drop 2,0.0
Batman Arkham Origins Blackgate - Deluxe Edition,14.3
Battle Academy,14.6
Battle Academy 2 Eastern Front,0.1
Battle Battalions,1.1
Battle Brothers,1.5
Battle Group 2,2.6
Battle Islands,383.59999999999997
Battle Los Angeles,4.1
Battle Mages,0.0
Battle Nations,1051.2
Battle for Blood - Epic battles within 30 seconds!,0.0
Battle for Graxia,3.8000000000000003
Battle of Empires  1914-1918,73.2
Battle vs Chess,5.0
BattleBlock Theater,625.6999999999999
BattleSpace,0.7
Battlefield 2,191.3
Battlefield Bad Company 2,6678.6
Battlefield Bad Company 2 Vietnam,0.0
Battlegrounds of Eldhelm,0.4
Battlepaths,53.199999999999996
Battleplan American Civil War,3.1
Battlestations Midway,24.700000000000003
Battlestations Pacific,153.20000000000002
BeamNG.drive,123.3
Beast Boxing Turbo,1.9
Beasts of Prey,67.3
Beat Hazard,191.90000000000003
Beat Hazard - Shadow Operations Unit,0.0
BeatBlasters III,0.0
Beatbuddy Tale of the Guardians,21.900000000000002
Bedlam,3.4
Before the Echo,19.2
Bejeweled 2 Deluxe,2.4
Bejeweled 3,213.7
Bejeweled Deluxe,1.0
Bejeweled Twist,0.0
Belladonna,0.0
"Ben There, Dan That!",6.6
Bermuda,3.8
Besiege,1251.6
Betrayer,14.5
Better Late Than DEAD,3.4
Between IGF Demo,0.0
Beware Planet Earth,2.2
Beyond Divinity,1.5
Beyond Eyes,1.5
Beyond Good & Evil,14.2
Beyond Gravity,0.0
Beyond Space,12.6
BiT Evolution,0.0
Bientt l't,0.4
Bierzerkers,0.0
Big Brain Wolf,1.0
Big Money! Deluxe,3.0
