app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
11240,5,Mixed,173,147,320
11250,0,6 user reviews,4,2,6
11260,5,Mixed,38,43,81
11280,8,Very Positive,381,36,417
11330,8,Very Positive,223,51,274
11340,6,Mostly Positive,170,56,226
11360,6,Mostly Positive,149,58,207
11370,5,Mixed,68,58,126
11390,5,Mixed,204,173,377
11420,8,Very Positive,140,13,153
11440,7,Positive,26,2,28
11450,8,Very Positive,1313,130,1443
11480,6,Mostly Positive,121,31,152
11500,0,2 user reviews,1,1,2
11550,7,Positive,15,0,15
11560,5,Mixed,23,16,39
11590,5,Mixed,69,100,169
11610,5,Mixed,12,15,27
11900,6,Mostly Positive,33,9,42
11920,6,Mostly Positive,9,3,12
12100,8,Very Positive,2234,409,2643
12110,8,Very Positive,4543,541,5084
12120,8,Very Positive,12482,1752,14234
12130,5,Mixed,490,261,751
12140,8,Very Positive,2688,343,3031
12150,8,Very Positive,1686,118,1804
12170,6,Mostly Positive,94,27,121
12180,8,Very Positive,78,11,89
12190,0,3 user reviews,3,0,3
12200,6,Mostly Positive,4701,1179,5880
12210,5,Mixed,15294,8454,23748
12240,8,Very Positive,4544,541,5085
12250,7,Positive,37,1,38
12310,6,Mostly Positive,34,12,46
12320,6,Mostly Positive,550,173,723
12330,8,Very Positive,201,48,249
12340,5,Mixed,28,17,45
12360,8,Very Positive,697,171,868
12370,7,Positive,27,4,31
12380,0,1 user reviews,1,0,1
12390,5,Mixed,34,31,65
12420,3,Negative,5,25,30
12430,4,Mostly Negative,13,52,65
12440,5,Mixed,10,13,23
12450,5,Mixed,9,7,16
12460,5,Mixed,41,32,73
12470,5,Mixed,107,52,159
12480,5,Mixed,32,41,73
12500,8,Very Positive,410,62,472
12510,2,Very Negative,15,81,96
12520,6,Mostly Positive,157,54,211
12530,6,Mostly Positive,19,5,24
12540,7,Positive,9,1,10
12550,5,Mixed,4,6,10
12560,5,Mixed,11,16,27
12570,0,5 user reviews,4,1,5
12580,0,2 user reviews,1,1,2
12590,5,Mixed,20,12,32
12600,3,Negative,3,18,21
12630,0,7 user reviews,4,3,7
12640,6,Mostly Positive,114,36,150
12650,0,2 user reviews,0,2,2
12660,0,4 user reviews,3,1,4
12670,0,5 user reviews,2,3,5
12690,6,Mostly Positive,80,21,101
